Date,Close/Last,Volume,Open,High,Low
02/09/2024,$468.11,18413140,$472.95,$473.59,$467.465
02/08/2024,$470.00,18815100,$468.32,$470.59,$465.03
02/07/2024,$469.59,23065990,$458.00,$471.52,$456.1773
02/06/2024,$454.72,21655210,$464.00,$467.12,$453.00
02/05/2024,$459.41,40832380,$469.88,$471.90,$459.22
02/02/2024,$474.99,84707650,$459.60,$485.96,$453.01
02/01/2024,$394.78,29727050,$393.94,$400.50,$393.05
01/31/2024,$390.14,20180820,$389.00,$398.00,$387.10
01/30/2024,$400.06,18614730,$403.59,$406.36,$399.57
01/29/2024,$401.02,18742430,$394.985,$402.93,$393.10
01/26/2024,$394.14,13159290,$394.35,$396.79,$391.5908
01/25/2024,$393.18,15091080,$390.17,$395.49,$385.66
01/24/2024,$390.70,15604290,$390.00,$396.15,$387.81
01/23/2024,$385.20,15506100,$384.615,$388.38,$382.075
01/22/2024,$381.78,17680450,$387.95,$390.3525,$381.1601
01/19/2024,$383.45,21670810,$379.00,$384.36,$377.97
01/18/2024,$376.13,16354330,$371.49,$376.85,$370.95
01/17/2024,$368.37,12724780,$366.30,$368.54,$358.61
01/16/2024,$367.46,15306890,$373.65,$375.61,$367.23
01/12/2024,$374.49,19310050,$370.155,$377.06,$369.54
01/11/2024,$369.67,17205390,$372.13,$372.78,$362.93
