Date,Close/Last,Volume,Open,High,Low
02/09/2024,$420.55,22032840,$415.25,$420.82,$415.09
02/08/2024,$414.11,21225260,$414.05,$415.56,$412.53
02/07/2024,$414.05,22340530,$407.44,$414.30,$407.40
02/06/2024,$405.49,18382620,$405.88,$407.97,$402.91
02/05/2024,$405.65,25352290,$409.90,$411.16,$403.99
02/02/2024,$411.22,28256670,$403.81,$412.65,$403.56
02/01/2024,$403.78,30657730,$401.83,$408.00,$401.80
01/31/2024,$397.58,47871100,$406.96,$415.32,$397.21
01/30/2024,$408.59,33477610,$412.26,$413.05,$406.4501
01/29/2024,$409.72,24510240,$406.06,$409.98,$404.33
01/26/2024,$403.93,17803270,$404.37,$406.17,$402.43
01/25/2024,$404.87,21021160,$404.32,$407.01,$402.5294
01/24/2024,$402.56,24866950,$401.54,$405.63,$400.45
01/23/2024,$398.90,20525880,$395.75,$399.38,$393.93
01/22/2024,$396.51,27016900,$400.02,$400.62,$393.59
01/19/2024,$398.67,29331140,$395.76,$398.67,$393.50
01/18/2024,$393.87,23392070,$391.72,$393.99,$390.12
01/17/2024,$389.47,22234110,$387.98,$390.11,$384.81
01/16/2024,$390.27,27202270,$393.66,$394.03,$387.6229
01/12/2024,$388.47,21661150,$385.49,$388.68,$384.65
01/11/2024,$384.63,27850850,$386.00,$390.68,$380.38
01/10/2024,$382.77,25514250,$376.37,$384.17,$376.32
01/09/2024,$375.79,20829950,$372.01,$375.99,$371.19
01/08/2024,$374.69,23133970,$369.30,$375.20,$369.01
01/05/2024,$367.75,21004580,$368.97,$372.06,$366.50
01/04/2024,$367.94,20901500,$370.665,$373.10,$367.17
01/03/2024,$370.60,23083470,$369.01,$373.2562,$368.51
01/02/2024,$370.87,25258630,$373.86,$375.90,$366.771
12/29/2023,$376.04,18730840,$376.00,$377.16,$373.48
12/28/2023,$375.28,14327010,$375.37,$376.458,$374.16
12/27/2023,$374.07,14905410,$373.69,$375.06,$372.8116
12/26/2023,$374.66,12673050,$375.00,$376.94,$373.50
12/22/2023,$374.58,17107480,$373.68,$375.18,$372.71
12/21/2023,$373.54,17708010,$372.56,$374.41,$370.04
12/20/2023,$370.62,26316650,$375.00,$376.03,$370.53
12/19/2023,$373.26,20603660,$371.49,$373.26,$369.84
12/18/2023,$372.65,21802880,$369.45,$373.00,$368.68
12/15/2023,$370.73,78502320,$366.85,$372.40,$366.28
12/14/2023,$365.93,43277460,$373.31,$373.76,$364.13
12/13/2023,$374.37,30955530,$376.02,$377.6361,$370.77
12/12/2023,$374.38,24838250,$370.85,$374.42,$370.46
12/11/2023,$371.30,27708760,$368.48,$371.60,$366.10
12/08/2023,$374.23,20154370,$369.20,$374.46,$368.23
12/07/2023,$370.95,23118860,$368.23,$371.4527,$366.32
12/06/2023,$368.80,21182070,$373.54,$374.18,$368.03
12/05/2023,$372.52,23065040,$366.45,$373.075,$365.621
12/04/2023,$369.14,32063310,$369.10,$369.52,$362.90
12/01/2023,$374.51,33040470,$376.76,$378.16,$371.31
11/30/2023,$378.91,30554420,$378.49,$380.09,$375.47
11/29/2023,$378.85,28963400,$383.76,$384.30,$377.44
11/28/2023,$382.70,20453110,$378.35,$383.00,$378.16
11/27/2023,$378.61,22179230,$376.78,$380.64,$376.20
11/24/2023,$377.43,10176650,$377.33,$377.97,$375.135
11/22/2023,$377.85,23361180,$378.00,$379.7899,$374.965
11/21/2023,$373.07,28423150,$375.67,$376.2215,$371.12
11/20/2023,$377.44,52528960,$371.22,$378.87,$371.00
11/17/2023,$369.85,40325370,$373.61,$374.37,$367.00
11/16/2023,$376.17,27182320,$370.96,$376.35,$370.18
11/15/2023,$369.67,26860100,$371.28,$373.13,$367.11
11/14/2023,$370.27,27683860,$371.01,$371.95,$367.3454
11/13/2023,$366.68,19986510,$368.22,$368.47,$365.90
11/10/2023,$369.67,28065160,$361.49,$370.10,$361.07
11/09/2023,$360.69,24847330,$362.30,$364.79,$360.362
11/08/2023,$363.20,26767830,$361.68,$363.87,$360.55
11/07/2023,$360.53,25833930,$359.40,$362.46,$357.63
11/06/2023,$356.53,23828300,$353.45,$357.54,$353.35
11/03/2023,$352.80,23637670,$349.63,$354.39,$347.33
11/02/2023,$348.32,24348070,$347.24,$348.83,$344.77
11/01/2023,$346.07,28158820,$339.79,$347.42,$339.65
10/31/2023,$338.11,20265280,$338.85,$339.00,$334.69
10/30/2023,$337.31,22828080,$333.41,$339.45,$331.83
10/27/2023,$329.81,29856520,$330.425,$336.72,$328.4007
10/26/2023,$327.89,37828540,$340.54,$341.63,$326.94
10/25/2023,$340.67,55053830,$345.02,$346.20,$337.62
10/24/2023,$330.53,31153570,$331.30,$331.84,$327.60
10/23/2023,$329.32,24374750,$325.47,$332.725,$324.39
10/20/2023,$326.67,25027720,$331.72,$331.92,$325.45
10/19/2023,$331.32,25052070,$332.15,$336.88,$330.91
10/18/2023,$330.11,23153600,$332.49,$335.59,$328.30
10/17/2023,$332.06,18338520,$329.59,$333.46,$327.41
10/16/2023,$332.64,22158050,$331.05,$336.14,$330.60
10/13/2023,$327.73,21085700,$332.38,$333.83,$326.36
10/12/2023,$331.16,19313100,$330.565,$333.6299,$328.72
10/11/2023,$332.42,20063250,$331.21,$332.82,$329.14
10/10/2023,$328.39,20557090,$330.96,$331.10,$327.67
10/09/2023,$329.82,19891180,$324.75,$330.30,$323.18
10/06/2023,$327.26,25673630,$316.55,$329.19,$316.30
10/05/2023,$319.36,16965630,$319.09,$319.98,$314.90
10/04/2023,$318.955,20720140,$314.03,$320.04,$314.00
10/03/2023,$313.39,21033490,$320.83,$321.39,$311.215
10/02/2023,$321.80,20570010,$316.28,$321.888,$315.18
09/29/2023,$315.75,24147300,$317.75,$319.47,$314.98
09/28/2023,$313.64,19683560,$310.99,$315.48,$309.45
09/27/2023,$312.79,19410080,$312.30,$314.299,$309.69
09/26/2023,$312.14,26297570,$315.13,$315.88,$310.02
09/25/2023,$317.54,17835960,$316.59,$317.67,$315.00
09/22/2023,$317.01,21447890,$321.32,$321.45,$316.15
09/21/2023,$319.53,35560360,$319.26,$325.3499,$315.00
09/20/2023,$320.77,21436530,$329.51,$329.59,$320.51
09/19/2023,$328.65,16514490,$326.17,$329.39,$324.51
09/18/2023,$329.06,16834210,$327.80,$330.40,$326.36
09/15/2023,$330.22,37679790,$336.92,$337.3975,$329.65
09/14/2023,$338.70,20267050,$339.148,$340.86,$336.57
09/13/2023,$336.06,16544410,$331.31,$336.85,$331.17
09/12/2023,$331.77,17565480,$335.815,$336.79,$331.48
09/11/2023,$337.94,16583320,$337.24,$338.42,$335.43
09/08/2023,$334.27,19548170,$330.09,$336.16,$329.46
09/07/2023,$329.91,18381000,$331.29,$333.08,$329.03
09/06/2023,$332.88,17535770,$333.38,$334.46,$330.18
09/05/2023,$333.55,18553860,$329.00,$334.85,$328.66
09/01/2023,$328.66,14942020,$331.31,$331.99,$326.78
08/31/2023,$327.76,26410950,$329.20,$330.9099,$326.78
08/30/2023,$328.79,15222110,$328.67,$329.81,$326.445
08/29/2023,$328.41,19284590,$321.88,$328.9835,$321.88
08/28/2023,$323.70,14808480,$325.66,$326.15,$321.722
08/25/2023,$322.98,21684100,$321.47,$325.36,$318.8001
08/24/2023,$319.97,23281430,$332.85,$332.98,$319.96
08/23/2023,$327.00,21166380,$323.82,$329.20,$323.46
08/22/2023,$322.46,16102020,$325.50,$326.075,$321.46
08/21/2023,$321.88,24039960,$317.93,$322.77,$317.04
08/18/2023,$316.48,24755010,$314.49,$318.38,$311.5508
08/17/2023,$316.88,21257160,$320.54,$321.87,$316.21
08/16/2023,$320.40,20698860,$320.80,$324.42,$319.8035
08/15/2023,$321.86,16966290,$323.00,$325.09,$320.9034
08/14/2023,$324.04,18836140,$321.39,$324.06,$320.08
08/11/2023,$321.01,24355490,$320.26,$322.41,$319.21
