Date,Close/Last,Volume,Open,High,Low
02/09/2024,$97.30,9385584,$96.32,$97.99,$96.29
02/08/2024,$96.59,9888133,$95.10,$96.69,$93.925
02/07/2024,$95.31,9077973,$96.24,$96.6593,$94.43
02/06/2024,$95.67,11531490,$92.50,$95.70,$92.35
02/05/2024,$92.51,7335836,$92.78,$92.868,$91.90
02/02/2024,$92.99,11366590,$92.69,$93.61,$91.67
02/01/2024,$93.37,15001460,$93.10,$93.60,$91.87
01/31/2024,$93.03,26751780,$98.28,$98.36,$93.02
01/30/2024,$94.08,17625240,$93.00,$94.68,$92.585
01/29/2024,$93.80,12728070,$93.02,$93.93,$92.24
01/26/2024,$92.80,9229443,$92.92,$93.49,$92.41
01/25/2024,$92.61,11991470,$92.22,$92.65,$91.715
01/24/2024,$92.04,7661364,$92.55,$92.84,$91.99
01/23/2024,$91.97,10227080,$93.03,$93.645,$91.77
01/22/2024,$93.07,9420979,$93.80,$93.92,$92.81
01/19/2024,$93.86,9565850,$93.18,$94.24,$92.64
01/18/2024,$93.34,7549528,$91.96,$93.425,$91.82
01/17/2024,$91.77,6672876,$91.66,$91.955,$91.40
01/16/2024,$92.70,7493443,$92.66,$92.73,$91.73
01/12/2024,$91.98,5641163,$93.23,$93.40,$91.7716
01/11/2024,$92.94,6483610,$93.33,$93.64,$91.90
01/10/2024,$93.50,5847748,$93.01,$93.69,$92.88
01/09/2024,$93.09,6348458,$93.61,$93.73,$92.86
01/08/2024,$94.19,7536873,$93.02,$94.57,$92.95
01/05/2024,$92.99,7191023,$93.33,$93.58,$92.48
01/04/2024,$93.55,7118640,$93.10,$94.58,$93.00
01/03/2024,$93.23,7161677,$93.96,$94.24,$93.06
01/02/2024,$93.67,8859654,$95.45,$95.95,$93.62
12/29/2023,$96.01,6135654,$95.88,$96.35,$95.3501
12/28/2023,$95.93,4518319,$95.50,$95.97,$95.112
12/27/2023,$95.29,4959279,$95.69,$95.7786,$94.79
12/26/2023,$95.67,3709492,$95.34,$95.69,$94.955
12/22/2023,$95.28,6361013,$94.89,$95.83,$94.34
12/21/2023,$95.33,7097160,$95.08,$95.4399,$94.47
12/20/2023,$94.71,10057370,$96.36,$96.88,$94.65
12/19/2023,$97.72,5992883,$96.94,$98.045,$96.94
12/18/2023,$96.56,6146426,$97.24,$97.32,$95.92
12/15/2023,$96.75,12466040,$97.84,$98.2382,$96.56
12/14/2023,$97.84,9764843,$98.72,$98.79,$97.15
12/13/2023,$98.11,7741909,$98.50,$98.64,$96.82
12/12/2023,$98.15,6313820,$98.44,$98.60,$97.43
12/11/2023,$98.12,7639105,$97.22,$99.005,$97.22
12/08/2023,$96.61,7125234,$96.08,$96.86,$95.81
12/07/2023,$96.44,7858295,$97.25,$97.695,$96.2702
12/06/2023,$97.02,12115000,$95.95,$97.17,$95.47
12/05/2023,$95.54,16027350,$97.38,$97.48,$94.845
12/04/2023,$97.60,11477380,$98.39,$98.88,$96.77
12/01/2023,$99.20,12506510,$98.50,$99.28,$97.52
11/30/2023,$99.30,11442610,$100.06,$100.12,$98.42
11/29/2023,$99.85,8428536,$101.51,$101.69,$99.53
11/28/2023,$101.18,6848126,$101.96,$102.05,$100.89
11/27/2023,$102.36,7853572,$102.29,$103.09,$102.065
